feature,gini_importance
percentage.supersonic.speed,0.12603108099695345
percentage.on.ground,0.07185419245181374
count.powerslide.ag,0.05917784954045303
amount.collected.ag,0.05405038355153409
percentage.slow.speed,0.04831291718889786
shots.conceded.ag,0.04449079219601931
avg.powerslide.time,0.04109725260029375
percentage.behind.ball,0.03972220321729571
count.collected.small.pads.ag,0.03870637721065648
Boost.used.ag,0.037014782467354866
shots.ag,0.03609763688616872
100.boost.time.ag,0.035255585639155325
real.speed.ag,0.03508323733609809
saves.ag,0.033352789114582955
true.wastage,0.03171985795794147
avg.boost.amount,0.027028236652768847
0.boost.time.ag,0.02620045831707942
count.collected.big.pads.ag,0.025807967438025988
percentage.offensive.third,0.024090478153043788
percentage.high.in.air,0.022594863361308722
amount.overfill.total.ag,0.021814657294994967
percentage.defensive.third,0.020807138980323377
count.stolen.small.pads.ag,0.020638322517833735
count.stolen.big.pads.ag,0.019220662542697133
amount.stolen.ag,0.018854119383292095
amount.overfill.stolen.ag,0.018277500855811517
demos.taken.ag,0.01148894944182976
demos.inflicted.ag,0.011209706705771906
