,saves.ag,shots.ag,shots.conceded.ag,Boost.used.ag,avg.boost.amount,amount.collected.ag,count.collected.big.pads.ag,count.collected.small.pads.ag,amount.stolen.ag,count.stolen.big.pads.ag,count.stolen.small.pads.ag,0.boost.time.ag,100.boost.time.ag,true.wastage,amount.overfill.total.ag,amount.overfill.stolen.ag,real.speed.ag,percentage.slow.speed,percentage.supersonic.speed,percentage.on.ground,percentage.high.in.air,avg.powerslide.time,count.powerslide.ag,percentage.behind.ball,percentage.defensive.third,percentage.offensive.third,demos.inflicted.ag,demos.taken.ag
saves.ag,1.0,0.04572307735862606,0.5397133395461541,0.2108006239494928,0.0593219963770003,0.24520512955329013,0.18328082742880256,0.17357333685009588,-0.01611037610882191,-0.028913381056072378,0.0011981172362923696,-0.06372376943809063,-0.06409959847836331,-0.07365243660379964,0.06102199319994844,-0.043597225191775744,0.22154412482538413,-0.20135214683994834,0.2752228552028389,-0.23672872451804078,0.038218804144068697,-0.08871939527850635,0.18404851182447418,0.2608486078529843,0.2631075729712441,-0.2171631185660414,0.0032019755716888878,0.07215032346200861
shots.ag,0.04572307735862606,1.0,-0.2770905063830041,0.302888327805644,-0.006538509101242525,0.3069510122983885,0.2320633685382197,0.2107291824598863,0.32097084674031023,0.24173246636582033,0.3344810255584806,-0.11977619084620533,-0.15019471872781326,-0.16251923639874374,0.035770762261623894,0.08052912828922146,0.2577896255940429,-0.2895588055975066,0.31583055887518263,-0.278760563832342,0.16517378087370796,-0.11903420333829716,0.21771158150842723,0.4968542354228716,-0.3973454749188489,0.3659243539945303,0.10254762394296707,-0.035893730166471335
shots.conceded.ag,0.5397133395461541,-0.2770905063830041,1.0,0.10341588665948716,-0.18291878293739405,0.0905208408512298,-0.03079339278972475,0.1557849195343954,-0.19007978032640377,-0.19989914010372473,-0.15534615207302582,0.07911750647467973,-0.21878326005942295,-0.04280745253298489,-0.13601444000871601,-0.18413500909253855,0.02560698689606808,-0.10559605521267061,0.23497487263461206,-0.1878944578159741,-0.05021117680082589,-0.06800813412557652,0.08876365313584268,-0.23854019717609623,0.48347202409907397,-0.48619772839269815,-0.03355405664921724,0.08615514903099075
Boost.used.ag,0.2108006239494928,0.302888327805644,0.10341588665948716,1.0,0.09225492779406637,0.9236320519297186,0.7770673914896653,0.22598707825780387,0.476094322003762,0.4217043174465238,0.2071393515840315,0.0284402793774741,-0.18492377541477167,0.023829827102072553,0.16393510821345192,0.08294713817788121,0.70553654941258,-0.7508572875200267,0.7410235597998094,-0.5271431276157508,0.27555826920121357,-0.20917120894308702,0.4080742098764126,0.16162162894092974,-0.19379719381757132,0.12499365916217735,0.19218621617419201,0.062322225659879035
avg.boost.amount,0.0593219963770003,-0.006538509101242525,-0.18291878293739405,0.09225492779406637,1.0,0.22555740779369382,0.46998174468724013,-0.18317447360657235,0.12717024733639248,0.26561129478355616,-0.03685707882864635,-0.5046020138305531,0.4825969210127487,0.025441429623635554,0.6522082207402706,0.3816913697039743,0.21227579073300415,-0.16540700453233537,0.033425437523142906,0.016632327281717246,0.11398812383343453,-0.046079766144682746,0.022723757972346898,0.19240194068197397,-0.0921290840735094,0.1336026103127085,0.0349886375517805,-0.016897309693920008
amount.collected.ag,0.24520512955329013,0.3069510122983885,0.0905208408512298,0.9236320519297186,0.22555740779369382,1.0,0.8707950831999705,0.27702163147570785,0.5024188545881535,0.45443033483504963,0.2503060088706045,-0.04304361401095345,-0.10998941068856843,0.01647048726050112,0.2616978787206186,0.13871826256715936,0.741700738302125,-0.7551165169749076,0.7527529706311507,-0.5088425729746275,0.22160464355622075,-0.21053983500603127,0.43386877776656685,0.2135983128583419,-0.1962887156693628,0.1200725646142586,0.2055862308661716,0.061844254369897045
count.collected.big.pads.ag,0.18328082742880256,0.2320633685382197,-0.03079339278972475,0.7770673914896653,0.46998174468724013,0.8707950831999705,1.0,0.0011196092965804502,0.47527561257269024,0.5417042037227136,0.11196761955552222,-0.18066677276195386,0.12309976301680486,0.0535857850906849,0.5742072799136805,0.31953728717756563,0.6594689751328202,-0.6526422583764185,0.616051518577219,-0.377426218141032,0.2253092836612356,-0.16361695846649443,0.32743623283426393,0.20922015840030678,-0.1966930590305439,0.16149964529113955,0.18645806345438137,0.0387020640393132
count.collected.small.pads.ag,0.17357333685009588,0.2107291824598863,0.1557849195343954,0.22598707825780387,-0.18317447360657235,0.27702163147570785,0.0011196092965804502,1.0,0.20258237395845327,0.020033649787691454,0.6415475692798941,-0.10332724204284259,-0.41246491445118477,-0.13792058643163152,-0.07300346494100554,-0.023588202486797234,0.3409911652745941,-0.3257547544665678,0.32515336247306287,-0.1894489296431587,-0.09009579967059755,-0.137159386573773,0.34559459184480207,0.13032965118170553,-0.07457054017602971,-0.012126575488467576,0.05675222810603958,0.04834853086465335
amount.stolen.ag,-0.01611037610882191,0.32097084674031023,-0.19007978032640377,0.476094322003762,0.12717024733639248,0.5024188545881535,0.47527561257269024,0.20258237395845327,1.0,0.9073814282038871,0.49806931577874924,-0.05628673399635634,-0.065126770274063,0.04115694314432681,0.20293655710107864,0.32964423787207203,0.41080385323494895,-0.3817481742012777,0.37033416735255165,-0.21583139258171452,0.0856192055363966,-0.10086008665129076,0.24971462889327198,0.14890814703831942,-0.5061895476690792,0.6029399734027419,0.1465567811301428,-0.012859546774243221
count.stolen.big.pads.ag,-0.028913381056072378,0.24173246636582033,-0.19989914010372473,0.4217043174465238,0.26561129478355616,0.45443033483504963,0.5417042037227136,0.020033649787691454,0.9073814282038871,1.0,0.2465352096124309,-0.11349575288770315,0.06201209028885919,0.08040006989473909,0.3567876200470194,0.5825998549501876,0.3590340639091426,-0.33079828838058,0.3079525776876955,-0.16805877500988964,0.08923520420960476,-0.07913286928356161,0.1881091455425352,0.11624495908200344,-0.44037693795806426,0.5569919485762029,0.1356259407975907,-0.018900282534462496
count.stolen.small.pads.ag,0.0011981172362923696,0.3344810255584806,-0.15534615207302582,0.2071393515840315,-0.03685707882864635,0.2503060088706045,0.11196761955552222,0.6415475692798941,0.49806931577874924,0.2465352096124309,1.0,-0.08454510011407373,-0.2130891853344713,-0.06358672943971388,0.039427487073003226,0.13085361611894766,0.32787859867025354,-0.283411544173094,0.24371219206410036,-0.10761489292288709,-0.050079171505942724,-0.09146258266406347,0.25105428977518773,0.20082079438177466,-0.47602892047100714,0.45365310095527384,0.0840378806003556,-0.02141172255665574
0.boost.time.ag,-0.06372376943809063,-0.11977619084620533,0.07911750647467973,0.0284402793774741,-0.5046020138305531,-0.04304361401095345,-0.18066677276195386,-0.10332724204284259,-0.05628673399635634,-0.11349575288770315,-0.08454510011407373,1.0,-0.25568895947845816,0.11010164456226985,-0.3727177836708507,-0.21849793104604262,-0.05858604515833319,0.07358847831911547,-0.04141540507659413,0.012238679877692804,-0.06748134897374718,0.07861194364668199,-0.10042076956802279,-0.2347167679405721,0.029097373718203288,-0.036558386324680586,0.008765375899888314,-0.02391744299985694
100.boost.time.ag,-0.06409959847836331,-0.15019471872781326,-0.21878326005942295,-0.18492377541477167,0.4825969210127487,-0.10998941068856843,0.12309976301680486,-0.41246491445118477,-0.065126770274063,0.06201209028885919,-0.2130891853344713,-0.25568895947845816,1.0,0.27477235788929444,0.4687428689360238,0.2516513284052475,-0.09594866226703577,0.1736064868268216,-0.2060082735997673,0.24858037301105843,0.04251416764335082,0.09937203009578074,-0.2506603609713875,0.06798926106313204,0.01748461516790637,0.047643244139354085,0.0070123644711694395,-0.07801788890683438
true.wastage,-0.07365243660379964,-0.16251923639874374,-0.04280745253298489,0.023829827102072553,0.025441429623635554,0.01647048726050112,0.0535857850906849,-0.13792058643163152,0.04115694314432681,0.08040006989473909,-0.06358672943971388,0.11010164456226985,0.27477235788929444,1.0,0.16288826193344944,0.12819922348297472,0.06359796340666457,-0.00015659644379299706,0.06451633642774365,0.38370719620703786,-0.21274924247197943,0.12310536873112346,-0.27464164731606544,-0.1675044781309347,0.0016334034904786476,0.03844045259983622,0.1304383982267251,-0.02309277954017017
amount.overfill.total.ag,0.06102199319994844,0.035770762261623894,-0.13601444000871601,0.16393510821345192,0.6522082207402706,0.2616978787206186,0.5742072799136805,-0.07300346494100554,0.20293655710107864,0.3567876200470194,0.039427487073003226,-0.3727177836708507,0.4687428689360238,0.16288826193344944,1.0,0.5857419408546618,0.2817137993122129,-0.23275024425975338,0.14962542030082226,0.012877418789280223,0.07817708265382221,-0.04022416260375948,0.0015931669862234332,0.13474896120715676,-0.09779730611226982,0.12880030947754484,0.07008964229833686,-0.004023918539144059
amount.overfill.stolen.ag,-0.043597225191775744,0.08052912828922146,-0.18413500909253855,0.08294713817788121,0.3816913697039743,0.13871826256715936,0.31953728717756563,-0.023588202486797234,0.32964423787207203,0.5825998549501876,0.13085361611894766,-0.21849793104604262,0.2516513284052475,0.12819922348297472,0.5857419408546618,1.0,0.15920848095401147,-0.11992676919598468,0.05876399512185568,0.03490526476257256,-0.014859715311688787,-0.020188092535779346,-0.0001361305730110579,0.07231808988731583,-0.27627889243518955,0.3466632925797813,0.05714786674266905,-0.03432328946901588
real.speed.ag,0.22154412482538413,0.2577896255940429,0.02560698689606808,0.70553654941258,0.21227579073300415,0.741700738302125,0.6594689751328202,0.3409911652745941,0.41080385323494895,0.3590340639091426,0.32787859867025354,-0.05858604515833319,-0.09594866226703577,0.06359796340666457,0.2817137993122129,0.15920848095401147,1.0,-0.9167920609019263,0.7203660174731733,-0.4896922741362471,0.19119277453404981,-0.20624725118916032,0.38900949323983663,0.17027805539839092,-0.2599856713855865,0.1722593461555011,0.22364025088592374,-0.006824877842674382
percentage.slow.speed,-0.20135214683994834,-0.2895588055975066,-0.10559605521267061,-0.7508572875200267,-0.16540700453233537,-0.7551165169749076,-0.6526422583764185,-0.3257547544665678,-0.3817481742012777,-0.33079828838058,-0.283411544173094,0.07358847831911547,0.1736064868268216,-0.00015659644379299706,-0.23275024425975338,-0.11992676919598468,-0.9167920609019263,1.0,-0.752481595993946,0.5466873103978122,-0.22371696707250321,0.2301286992432143,-0.3900578459938466,-0.1446721492300607,0.1951165730307178,-0.10634704217736306,-0.17021776514428782,-0.05179008543502099
percentage.supersonic.speed,0.2752228552028389,0.31583055887518263,0.23497487263461206,0.7410235597998094,0.033425437523142906,0.7527529706311507,0.616051518577219,0.32515336247306287,0.37033416735255165,0.3079525776876955,0.24371219206410036,-0.04141540507659413,-0.2060082735997673,0.06451633642774365,0.14962542030082226,0.05876399512185568,0.7203660174731733,-0.752481595993946,1.0,-0.5778738690275137,0.19118296471432697,-0.1987361662969358,0.4032609418586385,0.14159823300630411,-0.08270427120545322,0.01943021064665551,0.1685885157419283,0.04935772297905173
percentage.on.ground,-0.23672872451804078,-0.278760563832342,-0.1878944578159741,-0.5271431276157508,0.016632327281717246,-0.5088425729746275,-0.377426218141032,-0.1894489296431587,-0.21583139258171452,-0.16805877500988964,-0.10761489292288709,0.012238679877692804,0.24858037301105843,0.38370719620703786,0.012877418789280223,0.03490526476257256,-0.4896922741362471,0.5466873103978122,-0.5778738690275137,1.0,-0.46684420300021545,0.21893252206744418,-0.37304951772971195,-0.12851302200554907,0.06352151116887989,-0.03279736777282066,-0.019523163815020245,-0.0009333307298625384
percentage.high.in.air,0.038218804144068697,0.16517378087370796,-0.05021117680082589,0.27555826920121357,0.11398812383343453,0.22160464355622075,0.2253092836612356,-0.09009579967059755,0.0856192055363966,0.08923520420960476,-0.050079171505942724,-0.06748134897374718,0.04251416764335082,-0.21274924247197943,0.07817708265382221,-0.014859715311688787,0.19119277453404981,-0.22371696707250321,0.19118296471432697,-0.46684420300021545,1.0,-0.0751822288823564,0.05704109925917455,0.09941696041112587,-0.04611928830000031,0.07777469238004274,-0.007003002990812432,-0.025264021271772782
avg.powerslide.time,-0.08871939527850635,-0.11903420333829716,-0.06800813412557652,-0.20917120894308702,-0.046079766144682746,-0.21053983500603127,-0.16361695846649443,-0.137159386573773,-0.10086008665129076,-0.07913286928356161,-0.09146258266406347,0.07861194364668199,0.09937203009578074,0.12310536873112346,-0.04022416260375948,-0.020188092535779346,-0.20624725118916032,0.2301286992432143,-0.1987361662969358,0.21893252206744418,-0.0751822288823564,1.0,-0.22970239915502538,-0.10620014356575372,0.04842890318172816,-0.010521968064325007,-0.027459110731896066,-0.03411794821822595
count.powerslide.ag,0.18404851182447418,0.21771158150842723,0.08876365313584268,0.4080742098764126,0.022723757972346898,0.43386877776656685,0.32743623283426393,0.34559459184480207,0.24971462889327198,0.1881091455425352,0.25105428977518773,-0.10042076956802279,-0.2506603609713875,-0.27464164731606544,0.0015931669862234332,-0.0001361305730110579,0.38900949323983663,-0.3900578459938466,0.4032609418586385,-0.37304951772971195,0.05704109925917455,-0.22970239915502538,1.0,0.21925464465792158,-0.10198843443556045,0.02889426222204434,0.05958557065521198,0.03376827860241879
percentage.behind.ball,0.2608486078529843,0.4968542354228716,-0.23854019717609623,0.16162162894092974,0.19240194068197397,0.2135983128583419,0.20922015840030678,0.13032965118170553,0.14890814703831942,0.11624495908200344,0.20082079438177466,-0.2347167679405721,0.06798926106313204,-0.1675044781309347,0.13474896120715676,0.07231808988731583,0.17027805539839092,-0.1446721492300607,0.14159823300630411,-0.12851302200554907,0.09941696041112587,-0.10620014356575372,0.21925464465792158,1.0,-0.18972512469718542,0.13767861389739444,-0.025309729983593127,0.03582496004995024
percentage.defensive.third,0.2631075729712441,-0.3973454749188489,0.48347202409907397,-0.19379719381757132,-0.0921290840735094,-0.1962887156693628,-0.1966930590305439,-0.07457054017602971,-0.5061895476690792,-0.44037693795806426,-0.47602892047100714,0.029097373718203288,0.01748461516790637,0.0016334034904786476,-0.09779730611226982,-0.27627889243518955,-0.2599856713855865,0.1951165730307178,-0.08270427120545322,0.06352151116887989,-0.04611928830000031,0.04842890318172816,-0.10198843443556045,-0.18972512469718542,1.0,-0.8220343787914541,-0.08976271912815356,0.10153597453789048
percentage.offensive.third,-0.2171631185660414,0.3659243539945303,-0.48619772839269815,0.12499365916217735,0.1336026103127085,0.1200725646142586,0.16149964529113955,-0.012126575488467576,0.6029399734027419,0.5569919485762029,0.45365310095527384,-0.036558386324680586,0.047643244139354085,0.03844045259983622,0.12880030947754484,0.3466632925797813,0.1722593461555011,-0.10634704217736306,0.01943021064665551,-0.03279736777282066,0.07777469238004274,-0.010521968064325007,0.02889426222204434,0.13767861389739444,-0.8220343787914541,1.0,0.08826677528314307,-0.08048780949182417
demos.inflicted.ag,0.0032019755716888878,0.10254762394296707,-0.03355405664921724,0.19218621617419201,0.0349886375517805,0.2055862308661716,0.18645806345438137,0.05675222810603958,0.1465567811301428,0.1356259407975907,0.0840378806003556,0.008765375899888314,0.0070123644711694395,0.1304383982267251,0.07008964229833686,0.05714786674266905,0.22364025088592374,-0.17021776514428782,0.1685885157419283,-0.019523163815020245,-0.007003002990812432,-0.027459110731896066,0.05958557065521198,-0.025309729983593127,-0.08976271912815356,0.08826677528314307,1.0,0.02511326718803428
demos.taken.ag,0.07215032346200861,-0.035893730166471335,0.08615514903099075,0.062322225659879035,-0.016897309693920008,0.061844254369897045,0.0387020640393132,0.04834853086465335,-0.012859546774243221,-0.018900282534462496,-0.02141172255665574,-0.02391744299985694,-0.07801788890683438,-0.02309277954017017,-0.004023918539144059,-0.03432328946901588,-0.006824877842674382,-0.05179008543502099,0.04935772297905173,-0.0009333307298625384,-0.025264021271772782,-0.03411794821822595,0.03376827860241879,0.03582496004995024,0.10153597453789048,-0.08048780949182417,0.02511326718803428,1.0
