Dataset,OOB_MSE,OOB_R2,N_Significant_p05
raw_allranks,3.612214881900938,0.7468611665838154,0
raw_bronze,3.909717030989416,0.7924828705088189,0
raw_gold,3.530396498917311,0.7421933632586075,0
raw_diamond,3.659032601046512,0.7253103798056556,0
raw_gc,4.052708043719529,0.7130950294745108,0
diff_allranks,2.2959873193635953,0.8390670491318628,0
diff_bronze,2.9932989569709676,0.8409379507408925,0
diff_gold,2.4349421254488424,0.8221887427617782,0
diff_diamond,2.366678265867703,0.8223295540500309,0
diff_gc,2.6133315799509966,0.8149933792834894,0
